method p l int.effect mode strategy n power
rbf 1 0.5 0.2 gmpml exp 100 0.095
rbf 1 0.5 0.2 gmpml average 100 0.095
rbf 1 0.5 0.2 gmpml erm 100 0.095
rbf 1 0.5 0.2 loocv exp 100 0.05
rbf 1 0.5 0.2 loocv average 100 0.07
rbf 1 0.5 0.2 loocv erm 100 0.06
rbf 1 0.5 0.3 AICc exp 100 0.045
rbf 1 0.5 0.3 AICc average 100 0.105
rbf 1 0.5 0.3 AICc erm 100 0.09
rbf 1 0.5 0.3 GCVc exp 100 0.04
rbf 1 0.5 0.3 GCVc average 100 0.055
rbf 1 0.5 0.3 GCVc erm 100 0.075
rbf 1 0.5 0.3 gmpml exp 100 0.075
rbf 1 0.5 0.3 gmpml average 100 0.16
rbf 1 0.5 0.3 gmpml erm 100 0.12
rbf 1 0.5 0.3 loocv exp 100 0.05
rbf 1 0.5 0.3 loocv average 100 0.05
rbf 1 0.5 0.3 loocv erm 100 0.115
rbf 2 1 0 AICc exp 100 0.045
rbf 2 1 0 AICc average 100 0.035
rbf 2 1 0 AICc erm 100 0.03
rbf 2 1 0 GCVc exp 100 0.01
rbf 2 1 0 GCVc average 100 0
rbf 2 1 0 GCVc erm 100 0.025
rbf 2 1 0 gmpml exp 100 0.005
rbf 2 1 0 gmpml average 100 0.035
rbf 2 1 0 gmpml erm 100 0.07
rbf 2 1 0 loocv exp 100 0.005
rbf 2 1 0 loocv average 100 0.01
rbf 2 1 0 loocv erm 100 0.07
rbf 2 1 0.1 AICc exp 100 0.615
rbf 2 1 0.1 AICc average 100 0.56
rbf 2 1 0.1 AICc erm 100 0.625
rbf 2 1 0.1 GCVc exp 100 0.465
rbf 2 1 0.1 GCVc average 100 0.49
rbf 2 1 0.1 GCVc erm 100 0.545
rbf 2 1 0.1 gmpml exp 100 0.455
rbf 2 1 0.1 gmpml average 100 0.425
rbf 2 1 0.1 gmpml erm 100 0.67
rbf 2 1 0.1 loocv exp 100 0.435
rbf 2 1 0.1 loocv average 100 0.36
rbf 2 1 0.1 loocv erm 100 0.535
rbf 2 1 0.2 AICc exp 100 0.715
rbf 2 1 0.2 AICc average 100 0.71
rbf 2 1 0.2 AICc erm 100 0.735
rbf 2 1 0.2 GCVc exp 100 0.645
rbf 2 1 0.2 GCVc average 100 0.675
rbf 2 1 0.2 GCVc erm 100 0.725
rbf 2 1 0.2 gmpml exp 100 0.63
rbf 2 1 0.2 gmpml average 100 0.635
rbf 2 1 0.2 gmpml erm 100 0.75
rbf 2 1 0.2 loocv exp 100 0.555
rbf 2 1 0.2 loocv average 100 0.57
rbf 2 1 0.2 loocv erm 100 0.595
rbf 2 1 0.3 AICc exp 100 0.7
rbf 2 1 0.3 AICc average 100 0.71
rbf 2 1 0.3 AICc erm 100 0.7
rbf 2 1 0.3 GCVc exp 100 0.66
rbf 2 1 0.3 GCVc average 100 0.665
rbf 2 1 0.3 GCVc erm 100 0.69
rbf 2 1 0.3 gmpml exp 100 0.65
rbf 2 1 0.3 gmpml average 100 0.73
rbf 2 1 0.3 gmpml erm 100 0.725
rbf 2 1 0.3 loocv exp 100 0.595
rbf 2 1 0.3 loocv average 100 0.635
rbf 2 1 0.3 loocv erm 100 0.565
rbf 3 1.5 0 AICc exp 100 0.025
rbf 3 1.5 0 AICc average 100 0.025
rbf 3 1.5 0 AICc erm 100 0.045
rbf 3 1.5 0 GCVc exp 100 0.01
rbf 3 1.5 0 GCVc average 100 0.005
rbf 3 1.5 0 GCVc erm 100 0.035
rbf 3 1.5 0 gmpml exp 100 0.005
rbf 3 1.5 0 gmpml average 100 0.02
rbf 3 1.5 0 gmpml erm 100 0.06
