V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
polynomial,2,1,0.4,GCVc,avg,4,0.055,0.055,0.3679,1,4.3616,4.094,1.243,1.3946,0.9272
polynomial,2,1,0.5,GCVc,avg,4,0.06,0.05,0.3679,1,4.4555,4.0976,1.2415,1.3634,0.9322
polynomial,2,1,0.6,GCVc,avg,4,0.03,0.025,0.3679,1,4.3572,4.1181,1.2258,1.4041,0.9068
polynomial,2,1,0.7,GCVc,avg,4,0.05,0.05,0.3679,1,4.2991,4.151,1.2066,1.3853,0.8962
polynomial,2,1,0.8,GCVc,avg,4,0.06,0.06,0.3679,1,4.9806,4.1452,1.2002,1.4273,0.8862
polynomial,2,1,0.9,GCVc,avg,4,0.05,0.04,0.3679,1,4.5635,4.1222,1.2209,1.4439,0.9031
polynomial,2,1,1,GCVc,avg,4,0.06,0.065,0.3679,1,4.0634,4.1353,1.2184,1.3606,0.9225
polynomial,2,1,0,GCVc,exp,4,0.03,0.035,0.2231,1,4.5829,4.1382,1.2116,1.3977,0.9002
polynomial,2,1,0.05,GCVc,exp,4,0.015,0.025,0.3679,1,4.2189,4.1404,1.2144,1.3809,0.9125
polynomial,2,1,0.1,GCVc,exp,4,0.045,0.04,0.3679,1,4.5153,4.1399,1.2133,1.3858,0.9086
polynomial,2,1,0.15,GCVc,exp,4,0.07,0.07,0.3679,1,5.0857,4.1308,1.209,1.429,0.884
polynomial,2,1,0.2,GCVc,exp,4,0.03,0.035,0.3679,1,4.2441,4.1207,1.2257,1.3518,0.9396
polynomial,2,1,0.25,GCVc,exp,4,0.08,0.07,0.3679,1,4.8011,4.1239,1.216,1.3906,0.9049
polynomial,2,1,0.3,GCVc,exp,4,0.055,0.06,0.3679,1,4.1578,4.1006,1.2401,1.3839,0.9286
polynomial,2,1,0.4,GCVc,exp,4,0.05,0.05,0.3679,1,4.0618,4.1464,1.2142,1.4017,0.9017
polynomial,2,1,0.5,GCVc,exp,4,0.055,0.05,0.3679,1,4.3728,4.1066,1.2366,1.3724,0.9348
polynomial,2,1,0.6,GCVc,exp,4,0.075,0.08,0.3679,1,4.2107,4.1129,1.2304,1.3614,0.9283
polynomial,2,1,0.7,GCVc,exp,4,0.07,0.065,0.3679,1,4.5282,4.1255,1.2186,1.3666,0.9255
polynomial,2,1,0.8,GCVc,exp,4,0.065,0.07,0.3679,1,5.3093,4.1587,1.1896,1.4193,0.8795
polynomial,2,1,0.9,GCVc,exp,4,0.04,0.04,0.3679,1,5.0303,4.1253,1.2146,1.393,0.9015
polynomial,2,1,1,GCVc,exp,4,0.04,0.04,0.3679,1,4.6615,4.131,1.2158,1.3898,0.9057
polynomial,2,1,0,GCVc,erm,4,0.035,0.035,0.3679,1,3.9883,4.1241,1.227,1.5654,0.8467
polynomial,2,1,0.05,GCVc,erm,4,0.03,0.04,0.3679,1,4.4428,4.1352,1.2158,1.5483,0.8588
polynomial,2,1,0.1,GCVc,erm,4,0.02,0.03,0.3679,1,4.4725,4.1195,1.227,1.6608,0.8519
polynomial,2,1,0.15,GCVc,erm,4,0.025,0.025,0.2231,1,4.4588,4.1335,1.2184,1.5767,0.8432
polynomial,2,1,0.2,GCVc,erm,4,0.045,0.035,0.2955,1,5.1305,4.1151,1.2202,1.5831,0.8605
polynomial,2,1,0.25,GCVc,erm,4,0.025,0.025,0.3679,1,4.1482,4.1377,1.2168,1.5355,0.8568
