method p l int.effect mode strategy n power
163 rbf 3 1.5 0 AICc erm 100 0.045
164 rbf 3 1.5 0 AICc average 100 0.025
165 rbf 3 1.5 0 GCVc erm 100 0.035
166 rbf 3 1.5 0 GCVc average 100 0.005
167 rbf 3 1.5 0 gmpml erm 100 0.06
168 rbf 3 1.5 0 gmpml average 100 0.02
169 rbf 3 1.5 0.1 loocv erm 100 0.63
170 rbf 3 1.5 0.1 loocv average 100 0.635
171 rbf 3 1.5 0.1 AICc erm 100 0.665
172 rbf 3 1.5 0.1 AICc average 100 0.79
173 rbf 3 1.5 0.1 GCVc erm 100 0.69
174 rbf 3 1.5 0.1 GCVc average 100 0.655
175 rbf 3 1.5 0.1 gmpml erm 100 0.795
176 rbf 3 1.5 0.1 gmpml average 100 0.485
177 rbf 3 1.5 0.2 loocv erm 100 0.69
178 rbf 3 1.5 0.2 loocv average 100 0.825
179 rbf 3 1.5 0.2 AICc erm 100 0.71
180 rbf 3 1.5 0.2 AICc average 100 0.885
181 rbf 3 1.5 0.2 GCVc erm 100 0.8
182 rbf 3 1.5 0.2 GCVc average 100 0.86
183 rbf 3 1.5 0.2 gmpml erm 100 0.835
184 rbf 3 1.5 0.2 gmpml average 100 0.775
185 rbf 3 1.5 0.3 loocv erm 100 0.62
186 rbf 3 1.5 0.3 loocv average 100 0.86
187 rbf 3 1.5 0.3 AICc erm 100 0.69
188 rbf 3 1.5 0.3 AICc average 100 0.925
189 rbf 3 1.5 0.3 GCVc erm 100 0.755
190 rbf 3 1.5 0.3 GCVc average 100 0.88
191 rbf 3 1.5 0.3 gmpml erm 100 0.885
192 rbf 3 1.5 0.3 gmpml average 100 0.86
193 matern 0 0.5 0 loocv erm 100 0.01
194 matern 0 1 0 loocv erm 100 0.03
195 matern 0 1.5 0 loocv erm 100 0.02
196 matern 0 0.5 0 loocv average 100 0.005
197 matern 0 1 0 loocv average 100 0.025
198 matern 0 1.5 0 loocv average 100 0.015
199 matern 0 0.5 0 AICc erm 100 0.04
200 matern 0 1 0 AICc erm 100 0.015
201 matern 0 1.5 0 AICc erm 100 0.02
202 matern 0 0.5 0 AICc average 100 0.085
203 matern 0 1 0 AICc average 100 0.045
204 matern 0 1.5 0 AICc average 100 0.025
205 matern 0 0.5 0 GCVc erm 100 0.005
206 matern 0 1 0 GCVc erm 100 0.025
207 matern 0 1.5 0 GCVc erm 100 0.01
208 matern 0 0.5 0 GCVc average 100 0.035
209 matern 0 1 0 GCVc average 100 0.025
210 matern 0 1.5 0 GCVc average 100 0.005
211 matern 0 0.5 0 gmpml erm 100 0.015
212 matern 0 1 0 gmpml erm 100 0.01
213 matern 0 1.5 0 gmpml erm 100 0.025
214 matern 0 0.5 0 gmpml average 100 0.03
215 matern 0 1 0 gmpml average 100 0.02
216 matern 0 1.5 0 gmpml average 100 0.015
217 matern 0 0.5 0.1 loocv erm 100 0.02
218 matern 0 1 0.1 loocv erm 100 0.04
219 matern 0 1.5 0.1 loocv erm 100 0.12
220 matern 0 0.5 0.1 loocv average 100 0.03
221 matern 0 1 0.1 loocv average 100 0.02
222 matern 0 1.5 0.1 loocv average 100 0.05
223 matern 0 0.5 0.1 AICc erm 100 0.02
224 matern 0 1 0.1 AICc erm 100 0.025
225 matern 0 1.5 0.1 AICc erm 100 0.035
226 matern 0 0.5 0.1 AICc average 100 0.1
227 matern 0 1 0.1 AICc average 100 0.05
228 matern 0 1.5 0.1 AICc average 100 0.035
229 matern 0 0.5 0.1 GCVc erm 100 0.01
230 matern 0 1 0.1 GCVc erm 100 0.015
231 matern 0 1.5 0.1 GCVc erm 100 0.055
232 matern 0 0.5 0.1 GCVc average 100 0.035
233 matern 0 1 0.1 GCVc average 100 0.01
234 matern 0 1.5 0.1 GCVc average 100 0.03
235 matern 0 0.5 0.1 gmpml erm 100 0.01
236 matern 0 1 0.1 gmpml erm 100 0.025
237 matern 0 1.5 0.1 gmpml erm 100 0.14
238 matern 0 0.5 0.1 gmpml average 100 0.025
239 matern 0 1 0.1 gmpml average 100 0.02
240 matern 0 1.5 0.1 gmpml average 100 0.08
241 matern 0 0.5 0.2 loocv erm 100 0.02
242 matern 0 1 0.2 loocv erm 100 0.055
243 matern 0 1.5 0.2 loocv erm 100 0.235
244 matern 0 0.5 0.2 loocv average 100 0.045
245 matern 0 1 0.2 loocv average 100 0.02
246 matern 0 1.5 0.2 loocv average 100 0.05
247 matern 0 0.5 0.2 AICc erm 100 0.015
248 matern 0 1 0.2 AICc erm 100 0.05
249 matern 0 1.5 0.2 AICc erm 100 0.025
250 matern 0 0.5 0.2 AICc average 100 0.12
251 matern 0 1 0.2 AICc average 100 0.065
252 matern 0 1.5 0.2 AICc average 100 0.07
253 matern 0 0.5 0.2 GCVc erm 100 0.005
254 matern 0 1 0.2 GCVc erm 100 0.025
255 matern 0 1.5 0.2 GCVc erm 100 0.01
256 matern 0 0.5 0.2 GCVc average 100 0.045
257 matern 0 1 0.2 GCVc average 100 0.04
258 matern 0 1.5 0.2 GCVc average 100 0.02
259 matern 0 0.5 0.2 gmpml erm 100 0.02
260 matern 0 1 0.2 gmpml erm 100 0.04
261 matern 0 1.5 0.2 gmpml erm 100 0.12
262 matern 0 0.5 0.2 gmpml average 100 0.01
263 matern 0 1 0.2 gmpml average 100 0.015
264 matern 0 1.5 0.2 gmpml average 100 0.05
265 matern 0 0.5 0.3 loocv erm 100 0.025
266 matern 0 1 0.3 loocv erm 100 0.075
267 matern 0 1.5 0.3 loocv erm 100 0.14
268 matern 0 0.5 0.3 loocv average 100 0.045
269 matern 0 1 0.3 loocv average 100 0.04
270 matern 0 1.5 0.3 loocv average 100 0.02
271 matern 0 0.5 0.3 AICc erm 100 0.045
272 matern 0 1 0.3 AICc erm 100 0.045
273 matern 0 1.5 0.3 AICc erm 100 0.075
274 matern 0 0.5 0.3 AICc average 100 0.16
275 matern 0 1 0.3 AICc average 100 0.075
276 matern 0 1.5 0.3 AICc average 100 0.04
277 matern 0 0.5 0.3 GCVc erm 100 0.035
278 matern 0 1 0.3 GCVc erm 100 0.035
279 matern 0 1.5 0.3 GCVc erm 100 0.015
280 matern 0 0.5 0.3 GCVc average 100 0.04
281 matern 0 1 0.3 GCVc average 100 0.035
282 matern 0 1.5 0.3 GCVc average 100 0.03
283 matern 0 0.5 0.3 gmpml erm 100 0.03
284 matern 0 1 0.3 gmpml erm 100 0.05
285 matern 0 1.5 0.3 gmpml erm 100 0.065
286 matern 0 0.5 0.3 gmpml average 100 0.025
287 matern 0 1 0.3 gmpml average 100 0.07
288 matern 0 1.5 0.3 gmpml average 100 0.055
289 matern 1 0.5 0 loocv erm 100 0
290 matern 1 1 0 loocv erm 100 0.03
291 matern 1 1.5 0 loocv erm 100 0.05
292 matern 1 0.5 0 loocv average 100 0.025
293 matern 1 1 0 loocv average 100 0.005
294 matern 1 1.5 0 loocv average 100 0.01
295 matern 1 0.5 0 AICc erm 100 0.035
296 matern 1 1 0 AICc erm 100 0.025
297 matern 1 1.5 0 AICc erm 100 0.04
298 matern 1 0.5 0 AICc average 100 0.125
299 matern 1 1 0 AICc average 100 0.045
300 matern 1 1.5 0 AICc average 100 0.03
301 matern 1 0.5 0 GCVc erm 100 0.01
302 matern 1 1 0 GCVc erm 100 0.03
303 matern 1 1.5 0 GCVc erm 100 0.055
304 matern 1 0.5 0 GCVc average 100 0.02
305 matern 1 1 0 GCVc average 100 0.01
306 matern 1 1.5 0 GCVc average 100 0.015
307 matern 1 0.5 0 gmpml erm 100 0.01
308 matern 1 1 0 gmpml erm 100 0.03
309 matern 1 1.5 0 gmpml erm 100 0.07
310 matern 1 0.5 0 gmpml average 100 0.01
311 matern 1 1 0 gmpml average 100 0.015
312 matern 1 1.5 0 gmpml average 100 0.03
313 matern 1 0.5 0.1 loocv erm 100 0.015
314 matern 1 1 0.1 loocv erm 100 0.36
315 matern 1 1.5 0.1 loocv erm 100 0.56
316 matern 1 0.5 0.1 loocv average 100 0.025
317 matern 1 1 0.1 loocv average 100 0.26
318 matern 1 1.5 0.1 loocv average 100 0.45
319 matern 1 0.5 0.1 AICc erm 100 0.035
320 matern 1 1 0.1 AICc erm 100 0.42
321 matern 1 1.5 0.1 AICc erm 100 0.62
322 matern 1 0.5 0.1 AICc average 100 0.025
323 matern 1 1 0.1 AICc average 100 0.285
324 matern 1 1.5 0.1 AICc average 100 0.61
325 matern 1 0.5 0.1 GCVc erm 100 0
326 matern 1 1 0.1 GCVc erm 100 0.335
327 matern 1 1.5 0.1 GCVc erm 100 0.585
328 matern 1 0.5 0.1 GCVc average 100 0.035
329 matern 1 1 0.1 GCVc average 100 0.33
330 matern 1 1.5 0.1 GCVc average 100 0.54
331 matern 1 0.5 0.1 gmpml erm 100 0.015
332 matern 1 1 0.1 gmpml erm 100 0.48
333 matern 1 1.5 0.1 gmpml erm 100 0.715
334 matern 1 0.5 0.1 gmpml average 100 0.04
335 matern 1 1 0.1 gmpml average 100 0.3
336 matern 1 1.5 0.1 gmpml average 100 0.525
337 matern 1 0.5 0.2 loocv erm 100 0.01
338 matern 1 1 0.2 loocv erm 100 0.455
339 matern 1 1.5 0.2 loocv erm 100 0.555
340 matern 1 0.5 0.2 loocv average 100 0.01
341 matern 1 1 0.2 loocv average 100 0.28
342 matern 1 1.5 0.2 loocv average 100 0.645
343 matern 1 0.5 0.2 AICc erm 100 0.045
344 matern 1 1 0.2 AICc erm 100 0.44
345 matern 1 1.5 0.2 AICc erm 100 0.665
346 matern 1 0.5 0.2 AICc average 100 0.05
