method	p	l	int.effect	mode	strategy	n	power								
polynomial	3	1.5	0.1	loocv	erm	100	0.725								
polynomial	3	1.5	0.1	loocv	average	100	0.705								
polynomial	3	1.5	0.1	AICc	erm	100	0.86								
polynomial	3	1.5	0.1	AICc	average	100	0.845								
polynomial	3	1.5	0.1	GCVc	erm	100	0.805								
polynomial	3	1.5	0.1	GCVc	average	100	0.845								
polynomial	3	1.5	0.1	gmpml	erm	100	0.84								
polynomial	3	1.5	0.1	gmpml	average	100	0.835								
polynomial	3	1.5	0.2	loocv	erm	100	0.65								
polynomial	3	1.5	0.2	loocv	average	100	0.685								
polynomial	3	1.5	0.2	AICc	erm	100	0.905								
polynomial	3	1.5	0.2	AICc	average	100	0.925								
polynomial	3	1.5	0.2	GCVc	erm	100	0.91								
polynomial	3	1.5	0.2	GCVc	average	100	0.895								
polynomial	3	1.5	0.2	gmpml	erm	100	0.935								
polynomial	3	1.5	0.2	gmpml	average	100	0.925								
polynomial	3	1.5	0.3	loocv	erm	100	0.555								
polynomial	3	1.5	0.3	loocv	average	100	0.62								
polynomial	3	1.5	0.3	AICc	erm	100	0.915								
polynomial	3	1.5	0.3	AICc	average	100	0.94								
polynomial	3	1.5	0.3	GCVc	erm	100	0.91								
polynomial	3	1.5	0.3	GCVc	average	100	0.96								
polynomial	3	1.5	0.3	gmpml	erm	100	0.94								
polynomial	3	1.5	0.3	gmpml	average	100	0.905								
rbf	1	0.5	0	loocv	erm	100	0.14								
rbf	1	0.5	0	loocv	average	100	0								
rbf	1	0.5	0	AICc	erm	100	0.035								
rbf	1	0.5	0	AICc	average	100	0.055								
rbf	1	0.5	0	GCVc	erm	100	0								
rbf	1	0.5	0	GCVc	average	100	0								
rbf	1	0.5	0	gmpml	erm	100	0								
rbf	1	0.5	0	gmpml	average	100	0								
rbf	1	0.5	0.1	loocv	erm	100	0								
rbf	1	0.5	0.1	loocv	average	100	0								
rbf	1	0.5	0.1	AICc	erm	100	0.075								
rbf	1	0.5	0.1	AICc	average	100	0.055								
rbf	1	0.5	0.1	GCVc	erm	100	0.01								
rbf	1	0.5	0.1	GCVc	average	100	0.01								
rbf	1	0.5	0.1	gmpml	erm	100	0.01								
rbf	1	0.5	0.1	gmpml	average	100	0.01								
rbf	1	0.5	0.2	loocv	erm	100	0.005								
rbf	1	0.5	0.2	loocv	average	100	0.01								
rbf	1	0.5	0.2	AICc	erm	100	0.105								
rbf	1	0.5	0.2	AICc	average	100	0.065								
rbf	1	0.5	0.2	GCVc	erm	100	0.015								
rbf	1	0.5	0.2	GCVc	average	100	0.03								
rbf	1	0.5	0.2	gmpml	erm	100	0.01								
rbf	1	0.5	0.2	gmpml	average	100	0.015								
rbf	1	0.5	0.3	loocv	erm	100	0.035								
rbf	1	0.5	0.3	loocv	average	100	0.015								
rbf	1	0.5	0.3	AICc	erm	100	0.09								
rbf	1	0.5	0.3	AICc	average	100	0.04								
rbf	1	0.5	0.3	GCVc	erm	100	0.02								
rbf	1	0.5	0.3	GCVc	average	100	0.045								
rbf	1	0.5	0.3	gmpml	erm	100	0.01								
rbf	1	0.5	0.3	gmpml	average	100	0.02								
rbf	2	1	0	loocv	erm	100	0.025								
rbf	2	1	0	loocv	average	100	0.025								
rbf	2	1	0	AICc	erm	100	0.025								
rbf	2	1	0	AICc	average	100	0.03								
rbf	2	1	0	GCVc	erm	100	0.025								
rbf	2	1	0	GCVc	average	100	0.035								
rbf	2	1	0	gmpml	erm	100	0.025								
rbf	2	1	0	gmpml	average	100	0.03								
rbf	2	1	0.1	loocv	erm	100	0.54								
rbf	2	1	0.1	loocv	average	100	0.5								
rbf	2	1	0.1	AICc	erm	100	0.625								
rbf	2	1	0.1	AICc	average	100	0.56								
rbf	2	1	0.1	GCVc	erm	100	0.585								
rbf	2	1	0.1	GCVc	average	100	0.56								
rbf	2	1	0.1	gmpml	erm	100	0.53								
rbf	2	1	0.1	gmpml	average	100	0.595								
rbf	2	1	0.2	loocv	erm	100	0.54								
rbf	2	1	0.2	loocv	average	100	0.5								
rbf	2	1	0.2	AICc	erm	100	0.735								
rbf	2	1	0.2	AICc	average	100	0.745								
rbf	2	1	0.2	GCVc	erm	100	0.79								
rbf	2	1	0.2	GCVc	average	100	0.675								
rbf	2	1	0.2	gmpml	erm	100	0.775								
rbf	2	1	0.2	gmpml	average	100	0.775								
rbf	2	1	0.3	loocv	erm	100	0.52								
rbf	2	1	0.3	loocv	average	100	0.55								
rbf	2	1	0.3	AICc	erm	100	0.715								
rbf	2	1	0.3	AICc	average	100	0.685								
rbf	2	1	0.3	GCVc	erm	100	0.76								
rbf	2	1	0.3	GCVc	average	100	0.725								
rbf	2	1	0.3	gmpml	erm	100	0.775								
rbf	2	1	0.3	gmpml	average	100	0.775								
rbf	3	1.5	0	loocv	erm	100	0.06								
rbf	3	1.5	0	loocv	average	100	0.06								
rbf	3	1.5	0	AICc	erm	100	0.03								
rbf	3	1.5	0	AICc	average	100	0.035								
rbf	3	1.5	0	GCVc	erm	100	0.035								
rbf	3	1.5	0	GCVc	average	100	0.04								
rbf	3	1.5	0	gmpml	erm	100	0.055								
rbf	3	1.5	0	gmpml	average	100	0.01								
rbf	3	1.5	0.1	loocv	erm	100	0.63								
rbf	3	1.5	0.1	loocv	average	100	0.665								
rbf	3	1.5	0.1	AICc	erm	100	0.84								
rbf	3	1.5	0.1	AICc	average	100	0.835								
rbf	3	1.5	0.1	GCVc	erm	100	0.81								
