linear.pvalue quadratic.pvalue linear.boost.stat quadratic.boost.stat linear.true.stat quadratic.true.stat
1 0 0.00113478232191482 0.0310065836047344 0.00110086806484841 0.031790824004561
1 1 0.000439139921008944 0.0208537849941705 0.000350178925581239 0.020304554775482
1 1 0.000598731846231075 0.0331091751455504 0.000429801051324926 0.0312198314363375
1 0 0.00019027363148958 0.0454614814437382 4.23982098459435e-05 0.0455947769532771
1 0 0.000774291750954555 0.0311184297222238 0.000441295958285168 0.0324148012044043
1 0 0.000941753525885675 0.0171347658378813 0.000679344956697039 0.0173466846973213
1 0 0.000939100870465954 0.0157747316795388 0.000492696576106098 0.0172842497364714
1 0 0.00163104461414789 0.0116580211830496 0.000526638055728831 0.0127421709832926
0 0 0.00141712982084772 0.0487293201654447 0.00234934233851975 0.0507961658489563
0 1 0.000642525404650034 0.0616866443790349 0.000698744824295023 0.0608994025689829
1 1 0.000529665106864487 0.0150892979321718 0.000143023546593916 0.0146923544179029
1 1 0.000273485102820874 0.0278675601045376 0.000210374951844152 0.0273630178476232
0 0 0.000554449314365588 0.0217653726634661 0.000618394372147122 0.0223019098743402
0 0 0.000379422560258489 0.0498879422616405 0.000621385188114438 0.0521100302467415
1 0 0.00197172875730556 0.0550970613447327 0.00151241371687602 0.05807950656874
0 0 0.000344494119212988 0.0635148779454147 0.00046522987960628 0.0638175630513161
0 1 0.000800120154791841 0.069821485387787 0.000805140879071435 0.0677100499372947
1 0 0.00050599797350498 0.0361899845033871 0.000491692785660108 0.0385910418685095
1 1 0.0036147004109963 0.0435742883555466 0.0028969538201947 0.042178859725579
1 0 0.000854630826688079 0.0153825147353472 0.00055444335275125 0.0154043177735871
1 1 0.000966402347326072 0.027391039715081 0.000672765041890018 0.0261755843824811
0 0 5.13485404644108e-05 0.0140655786192197 0.000317623241761163 0.0147700722610363
0 1 9.55849900528534e-05 0.0171455107832669 0.000115883488682937 0.0161785799505641
1 1 0.000675606969302766 0.02648577249446 0.000394002765604874 0.0244580209301271
1 0 0.000803293095842961 0.0271391589351468 0.00061310025105053 0.027554271322875
1 0 0.000495687982857632 0.060392995182978 0.000443160996758759 0.0634124428437694
0 0 0.00095256851729218 0.0570287355201944 0.00128349828138602 0.0570901724470493
1 1 0.000338419311448124 0.0202548038016973 0.000217854728952295 0.0200190623326204
0 0 0.000581630738110727 0.0440693641758257 0.000878092321554402 0.0446601497370682
1 1 0.0015656293162478 0.0445334192383546 0.0014055520010688 0.0438755612462453
0 1 0.000607619736184784 0.0751423506869345 0.000745789182429161 0.074180556945338
0 0 0.00040730877348244 0.0844465057454678 0.000546466511613689 0.0876043250879862
1 0 0.000803273778238596 0.0321038103740651 0.000750241059885165 0.0335135246315178
1 0 0.00068890167302737 0.043908374323211 0.000612570796041383 0.0448329523884465
1 1 9.95754965355769e-05 0.0367220536229107 3.13169236153389e-06 0.0351518472191471
1 0 0.000357822963262943 0.0107880826824116 0.000300573978511577 0.0114900838894158
0 1 0.00010421016178229 0.0126513813194709 0.000250176857935904 0.0121660183801942
0 1 0.00025860201188567 0.0148288456280606 0.000491443076455437 0.0147899174842619
1 1 0.00157838501962383 0.0233367896745055 0.00112703085088242 0.0228999790148537
1 1 0.000792489424049274 0.0581470952340956 0.000667345531844801 0.0575580191259592
1 1 0.000991370530146547 0.016861449836262 0.000430596529325086 0.0163880484572869
0 1 0.00017114052482545 0.0299863956589831 0.000230403560516197 0.028586866669781
0 1 0.000252710397846179 0.0624127115163663 0.00040721682325291 0.061723978809015
1 1 0.00153687465291489 0.0148818469528396 0.00129866130575055 0.0148737396413288
1 0 0.000109994483313042 0.0711573269890821 0.000108671482622266 0.0720463341640964
0 0 0.0012061816303775 0.0495044919624625 0.00146075085230922 0.0500714668918631
1 1 0.000697443393546627 0.0564030278816216 0.000579554670892085 0.0555742055291561
0 1 0.000136753932643638 0.0181903347005856 0.000371818893373479 0.0175977470091385
0 1 0.000813705120806715 0.0189612486528568 0.00113810283118112 0.0189170851755749
1 0 0.000681072278873372 0.0281748948557592 0.000614659874230927 0.0284160425309137
1 1 0.000305091521152469 0.0266200721764329 0.000230397987653844 0.0258280216183723
0 0 0.000459247125796819 0.0366594898563609 0.000556436056152975 0.0373780444556194
0 0 0.000142145937217181 0.0302597964952879 0.000277145538522992 0.0316724110428877
1 1 0.00203653309857605 0.124690318855542 0.00166959611205464 0.122379166324813
0 0 0.000114022129228149 0.0842957010350483 0.000138210606268182 0.0894968690745352
1 1 0.000696161941540685 0.0573533986761538 0.000383898495941805 0.0564576074997608
