method p l int.effect mode strategy n power test
polynomial 1 0.5 0.3 loocv exp 100 1 asym
polynomial 1 0.5 0.3 loocv average 100 1 asym
polynomial 1 0.5 0.4 loocv exp 100 1 asym
polynomial 1 0.5 0.4 loocv average 100 1 asym
polynomial 1 0.5 0.5 loocv exp 100 1 asym
polynomial 1 0.5 0.5 loocv average 100 1 asym
polynomial 1 0.5 0.6 loocv exp 100 1 asym
polynomial 1 0.5 0.6 loocv average 100 1 asym
polynomial 1 0.5 0.7 loocv exp 100 1 asym
polynomial 1 0.5 0.7 loocv average 100 1 asym
polynomial 1 0.5 0.8 loocv exp 100 1 asym
polynomial 1 0.5 0.8 loocv average 100 1 asym
polynomial 1 0.5 0.9 loocv exp 100 1 asym
polynomial 1 0.5 0.9 loocv average 100 1 asym
polynomial 1 0.5 1 loocv exp 100 1 asym
polynomial 1 0.5 1 loocv average 100 1 asym
polynomial 2 1 0 loocv exp 100 0.045 asym
polynomial 2 1 0 loocv average 100 0.035 asym
polynomial 2 1 0.1 loocv exp 100 0.825 asym
polynomial 2 1 0.1 loocv average 100 0.815 asym
polynomial 2 1 0.2 loocv exp 100 0.915 asym
polynomial 2 1 0.2 loocv average 100 0.885 asym
polynomial 2 1 0.3 loocv exp 100 0.955 asym
polynomial 2 1 0.3 loocv average 100 0.915 asym
polynomial 2 1 0.4 loocv exp 100 0.925 asym
polynomial 2 1 0.4 loocv average 100 0.93 asym
polynomial 2 1 0.5 loocv exp 100 0.955 asym
polynomial 2 1 0.5 loocv average 100 0.935 asym
polynomial 2 1 0.6 loocv exp 100 0.905 asym
polynomial 2 1 0.6 loocv average 100 0.925 asym
polynomial 2 1 0.7 loocv exp 100 0.915 asym
polynomial 2 1 0.7 loocv average 100 0.9 asym
polynomial 2 1 0.8 loocv exp 100 0.94 asym
polynomial 2 1 0.8 loocv average 100 0.955 asym
polynomial 2 1 0.9 loocv exp 100 0.905 asym
polynomial 2 1 0.9 loocv average 100 0.915 asym
polynomial 2 1 1 loocv exp 100 0.93 asym
polynomial 2 1 1 loocv average 100 0.94 asym
polynomial 3 1.5 0 loocv exp 100 0.075 asym
polynomial 3 1.5 0 loocv average 100 0.055 asym
polynomial 3 1.5 0.1 loocv exp 100 0.865 asym
polynomial 3 1.5 0.1 loocv average 100 0.855 asym
polynomial 3 1.5 0.2 loocv exp 100 0.93 asym
polynomial 3 1.5 0.2 loocv average 100 0.955 asym
polynomial 3 1.5 0.3 loocv exp 100 0.91 asym
polynomial 3 1.5 0.3 loocv average 100 0.94 asym
polynomial 3 1.5 0.4 loocv exp 100 0.93 asym
polynomial 3 1.5 0.4 loocv average 100 0.94 asym
polynomial 3 1.5 0.5 loocv exp 100 0.93 asym
polynomial 3 1.5 0.5 loocv average 100 0.965 asym
polynomial 3 1.5 0.6 loocv exp 100 0.93 asym
polynomial 3 1.5 0.6 loocv average 100 0.965 asym
polynomial 3 1.5 0.7 loocv exp 100 0.935 asym
polynomial 3 1.5 0.7 loocv average 100 0.92 asym
polynomial 3 1.5 0.8 loocv exp 100 0.965 asym
polynomial 3 1.5 0.8 loocv average 100 0.945 asym
polynomial 3 1.5 0.9 loocv exp 100 0.935 asym
polynomial 3 1.5 0.9 loocv average 100 0.915 asym
polynomial 3 1.5 1 loocv exp 100 0.94 asym
polynomial 3 1.5 1 loocv average 100 0.93 asym
rbf 1 0.5 0 loocv exp 100 0.02 asym
rbf 1 0.5 0 loocv average 100 0.015 asym
