"","method","p","l","int.effect","mode","strategy","n","power","test"
"150","rbf",2,"1",0.2,"GCVc","average",100,0.58,"GCVc, average"
"151","rbf",2,"1",0.2,"gmpml","erm",100,0.49,"gmpml, erm"
"152","rbf",2,"1",0.2,"gmpml","average",100,0.615,"gmpml, average"
"153","rbf",2,"1",0.3,"loocv","erm",100,0.3,"loocv, erm"
"154","rbf",2,"1",0.3,"loocv","average",100,0.22,"loocv, average"
"155","rbf",2,"1",0.3,"AICc","erm",100,0.52,"AICc, erm"
"156","rbf",2,"1",0.3,"AICc","average",100,0.655,"AICc, average"
"157","rbf",2,"1",0.3,"GCVc","erm",100,0.61,"GCVc, erm"
"158","rbf",2,"1",0.3,"GCVc","average",100,0.62,"GCVc, average"
"159","rbf",2,"1",0.3,"gmpml","erm",100,0.615,"gmpml, erm"
"160","rbf",2,"1",0.3,"gmpml","average",100,0.66,"gmpml, average"
"161","rbf",3,"1.5",0,"loocv","erm",100,0.07,"loocv, erm"
"162","rbf",3,"1.5",0,"loocv","average",100,0.075,"loocv, average"
"163","rbf",3,"1.5",0,"AICc","erm",100,0.165,"AICc, erm"
"164","rbf",3,"1.5",0,"AICc","average",100,0.07,"AICc, average"
"165","rbf",3,"1.5",0,"GCVc","erm",100,0.15,"GCVc, erm"
"166","rbf",3,"1.5",0,"GCVc","average",100,0.07,"GCVc, average"
"167","rbf",3,"1.5",0,"gmpml","erm",100,0.135,"gmpml, erm"
"168","rbf",3,"1.5",0,"gmpml","average",100,0.09,"gmpml, average"
"169","rbf",3,"1.5",0.1,"loocv","erm",100,0.465,"loocv, erm"
"170","rbf",3,"1.5",0.1,"loocv","average",100,0.495,"loocv, average"
"171","rbf",3,"1.5",0.1,"AICc","erm",100,0.605,"AICc, erm"
"172","rbf",3,"1.5",0.1,"AICc","average",100,0.74,"AICc, average"
"173","rbf",3,"1.5",0.1,"GCVc","erm",100,0.68,"GCVc, erm"
"174","rbf",3,"1.5",0.1,"GCVc","average",100,0.755,"GCVc, average"
"175","rbf",3,"1.5",0.1,"gmpml","erm",100,0.665,"gmpml, erm"
"176","rbf",3,"1.5",0.1,"gmpml","average",100,0.745,"gmpml, average"
"177","rbf",3,"1.5",0.2,"loocv","erm",100,0.5,"loocv, erm"
"178","rbf",3,"1.5",0.2,"loocv","average",100,0.64,"loocv, average"
"179","rbf",3,"1.5",0.2,"AICc","erm",100,0.755,"AICc, erm"
"180","rbf",3,"1.5",0.2,"AICc","average",100,0.87,"AICc, average"
"181","rbf",3,"1.5",0.2,"GCVc","erm",100,0.805,"GCVc, erm"
"182","rbf",3,"1.5",0.2,"GCVc","average",100,0.92,"GCVc, average"
"183","rbf",3,"1.5",0.2,"gmpml","erm",100,0.775,"gmpml, erm"
"184","rbf",3,"1.5",0.2,"gmpml","average",100,0.915,"gmpml, average"
"185","rbf",3,"1.5",0.3,"loocv","erm",100,0.465,"loocv, erm"
"186","rbf",3,"1.5",0.3,"loocv","average",100,0.58,"loocv, average"
"187","rbf",3,"1.5",0.3,"AICc","erm",100,0.685,"AICc, erm"
"188","rbf",3,"1.5",0.3,"AICc","average",100,0.88,"AICc, average"
"189","rbf",3,"1.5",0.3,"GCVc","erm",100,0.695,"GCVc, erm"
"190","rbf",3,"1.5",0.3,"GCVc","average",100,0.895,"GCVc, average"
"191","rbf",3,"1.5",0.3,"gmpml","erm",100,0.845,"gmpml, erm"
"192","rbf",3,"1.5",0.3,"gmpml","average",100,0.915,"gmpml, average"
