method p l int.effect mode strategy n power
polynomial 2 1 0.1 AICc erm 100 0.695 
polynomial 2 1 0.1 AICc average 100 0.365 
polynomial 2 1 0.1 GCVc erm 100 0.625 
polynomial 2 1 0.1 GCVc average 100 0.155 
polynomial 2 1 0.1 gmpml erm 100 0.56 
polynomial 2 1 0.1 gmpml average 100 0.145 
polynomial 2 1 0.2 loocv erm 100 0.63 
polynomial 2 1 0.2 loocv average 100 0.46 
polynomial 2 1 0.2 AICc erm 100 0.86 
polynomial 2 1 0.2 AICc average 100 0.65 
polynomial 2 1 0.2 GCVc erm 100 0.835 
polynomial 2 1 0.2 GCVc average 100 0.385 
polynomial 2 1 0.2 gmpml erm 100 0.825 
polynomial 2 1 0.2 gmpml average 100 0.315 
polynomial 2 1 0.3 loocv erm 100 0.605 
polynomial 2 1 0.3 loocv average 100 0.525 
polynomial 2 1 0.3 AICc erm 100 0.905 
polynomial 2 1 0.3 AICc average 100 0.83 
polynomial 2 1 0.3 GCVc erm 100 0.845 
polynomial 2 1 0.3 GCVc average 100 0.525 
polynomial 2 1 0.3 gmpml erm 100 0.755 
polynomial 2 1 0.3 gmpml average 100 0.485 
polynomial 3 1.5 0 loocv erm 100 0.07 
polynomial 3 1.5 0 loocv average 100 0.025 
polynomial 3 1.5 0 AICc erm 100 0.195 
polynomial 3 1.5 0 AICc average 100 0.175 
polynomial 3 1.5 0 GCVc erm 100 0.095 
polynomial 3 1.5 0 GCVc average 100 0.02 
polynomial 3 1.5 0 gmpml erm 100 0.105 
polynomial 3 1.5 0 gmpml average 100 0.04 
polynomial 3 1.5 0.1 loocv erm 100 0.435 
polynomial 3 1.5 0.1 loocv average 100 0.12 
polynomial 3 1.5 0.1 AICc erm 100 0.56 
polynomial 3 1.5 0.1 AICc average 100 0.41 
polynomial 3 1.5 0.1 GCVc erm 100 0.56 
polynomial 3 1.5 0.1 GCVc average 100 0.125 
polynomial 3 1.5 0.1 gmpml erm 100 0.455 
polynomial 3 1.5 0.1 gmpml average 100 0.13 
polynomial 3 1.5 0.2 loocv erm 100 0.62 
polynomial 3 1.5 0.2 loocv average 100 0.335 
polynomial 3 1.5 0.2 AICc erm 100 0.79 
polynomial 3 1.5 0.2 AICc average 100 0.745 
polynomial 3 1.5 0.2 GCVc erm 100 0.785 
polynomial 3 1.5 0.2 GCVc average 100 0.25 
polynomial 3 1.5 0.2 gmpml erm 100 0.75 
polynomial 3 1.5 0.2 gmpml average 100 0.255 
polynomial 3 1.5 0.3 loocv erm 100 0.55 
polynomial 3 1.5 0.3 loocv average 100 0.485 
polynomial 3 1.5 0.3 AICc erm 100 0.88 
polynomial 3 1.5 0.3 AICc average 100 0.765 
polynomial 3 1.5 0.3 GCVc erm 100 0.81 
polynomial 3 1.5 0.3 GCVc average 100 0.345 
polynomial 3 1.5 0.3 gmpml erm 100 0.82 
polynomial 3 1.5 0.3 gmpml average 100 0.305 
rbf 1 0.5 0 loocv erm 100 0.02 
rbf 1 0.5 0 loocv average 100 0.03 
rbf 1 0.5 0 AICc erm 100 0.035 
rbf 1 0.5 0 AICc average 100 0.085 
rbf 1 0.5 0 GCVc erm 100 0.01 
rbf 1 0.5 0 GCVc average 100 0.05 
rbf 1 0.5 0 gmpml erm 100 0.015 
rbf 1 0.5 0 gmpml average 100 0.03 
rbf 1 0.5 0.1 loocv erm 100 0.07 
rbf 1 0.5 0.1 loocv average 100 0.095 
rbf 1 0.5 0.1 AICc erm 100 0.065 
rbf 1 0.5 0.1 AICc average 100 0.09 
rbf 1 0.5 0.1 GCVc erm 100 0.045 
rbf 1 0.5 0.1 GCVc average 100 0.065 
rbf 1 0.5 0.1 gmpml erm 100 0.04 
rbf 1 0.5 0.1 gmpml average 100 0.095 
rbf 1 0.5 0.2 loocv erm 100 0.055 
rbf 1 0.5 0.2 loocv average 100 0.065 
rbf 1 0.5 0.2 AICc erm 100 0.1 
rbf 1 0.5 0.2 AICc average 100 0.095 
rbf 1 0.5 0.2 GCVc erm 100 0.08 
rbf 1 0.5 0.2 GCVc average 100 0.07 
rbf 1 0.5 0.2 gmpml erm 100 0.06 
