V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
polynomial,1,0.5,0.7,BIC,avg,1,0.08,0.085,148.4132,1,1.0435,3.4134,1.8498,1.9134,1.0241
polynomial,1,0.5,0.8,BIC,avg,1,0.045,0.06,148.4132,1,1.0453,3.2835,2.219,1.9073,1.1343
polynomial,1,0.5,0.9,BIC,avg,1,0.08,0.09,148.4132,1,1.0553,3.3182,2.0074,2.0764,1.0579
polynomial,1,0.5,1,BIC,avg,1,0.08,0.075,148.4132,1,1.0385,3.3501,1.9237,2.0424,1.0082
polynomial,1,0.5,0,GCV,avg,1,0.085,0.075,13.7373,1,1.7325,3.3405,1.9442,1.9641,1.0546
polynomial,1,0.5,0.05,GCV,avg,1,0.07,0.07,148.4132,1,1.6033,3.3269,2.0627,2.0339,1.021
polynomial,1,0.5,0.1,GCV,avg,1,0.045,0.05,148.4132,1,1.618,3.3535,1.9147,1.9782,1.0308
polynomial,1,0.5,0.15,GCV,avg,1,0.06,0.05,148.4132,1,1.5132,3.2509,2.0534,1.942,1.1361
polynomial,1,0.5,0.2,GCV,avg,1,0.04,0.04,148.4132,1,1.5751,3.349,1.9621,2.0259,1.0253
polynomial,1,0.5,0.25,GCV,avg,1,0.05,0.045,148.4132,1,1.5294,3.3259,1.9443,2.0835,1.0407
polynomial,1,0.5,0.3,GCV,avg,1,0.06,0.055,148.4132,1,1.5811,3.3497,1.9577,2.1112,1.0324
polynomial,1,0.5,0.4,GCV,avg,1,0.07,0.06,148.4132,1,1.5926,3.3174,1.9274,2.0031,1.0342
polynomial,1,0.5,0.5,GCV,avg,1,0.045,0.04,148.4132,1,1.6791,3.3174,1.9451,2.1044,1.0169
polynomial,1,0.5,0.6,GCV,avg,1,0.015,0.01,148.4132,1,1.5383,3.3476,1.9155,2.042,1.0062
polynomial,1,0.5,0.7,GCV,avg,1,0.06,0.055,148.4132,1,1.4803,3.2662,2.0454,2.0023,1.0958
polynomial,1,0.5,0.8,GCV,avg,1,0.075,0.065,148.4132,1,1.5144,3.3028,1.9538,2.0604,1.0329
polynomial,1,0.5,0.9,GCV,avg,1,0.095,0.085,148.4132,1,1.6388,3.365,1.8936,2.1009,1.0256
polynomial,1,0.5,1,GCV,avg,1,0.045,0.05,148.4132,1,1.568,3.3115,2.0049,2.0621,1.0369
polynomial,1,0.5,0,AICc,avg,1,0.045,0.04,148.4132,1,1.5013,3.2848,1.9801,1.9704,1.0682
polynomial,1,0.5,0.05,AICc,avg,1,0.06,0.06,148.4132,1,1.5128,3.2812,2.0801,1.9879,1.1138
polynomial,1,0.5,0.1,AICc,avg,1,0.035,0.04,148.4132,1,1.4867,3.363,1.9156,2.0047,1.0081
polynomial,1,0.5,0.15,AICc,avg,1,0.065,0.07,148.4132,1,1.4544,3.2857,2.0169,1.9995,1.0695
polynomial,1,0.5,0.2,AICc,avg,1,0.04,0.04,148.4132,1,1.5753,3.2981,1.9788,2.1832,1.0357
polynomial,1,0.5,0.25,AICc,avg,1,0.05,0.045,148.4132,1,1.4833,3.3283,1.9587,1.9883,1.0453
polynomial,1,0.5,0.3,AICc,avg,1,0.06,0.065,148.4132,1,1.5336,3.2443,2.038,2.0766,1.0693
